ID;Code;country
1;ARG;Argentina
2;AUS;Australia
3;AUT;Austria
4;BEL;Belgium
5;BGD;Bangladesh
6;BGR;Bulgaria
7;BLR;Belarus
8;BRA;Brazil
9;BRN;Brunei Darussalam
10;CAN;Canada
11;CHE;Switzerland
12;CHL;Chile
13;CHN;China (People's Republic of)
14;CIV;Côte d'Ivoire
15;CMR;Cameroon
16;COL;Colombia
17;CRI;Costa Rica
18;CYP;Cyprus (1)
19;CZE;Czechia
20;DEU;Germany
21;DNK;Denmark
22;EGY;Egypt
23;ESP;Spain
24;EST;Estonia
25;FIN;Finland
26;FRA;France
27;GBR;United Kingdom
28;GRC;Greece
29;HKG;Hong Kong, China
30;HRV;Croatia
31;HUN;Hungary
32;IDN;Indonesia
33;IND;India
34;IRL;Ireland
35;ISL;Iceland
36;ISR;Israel (2)
37;ITA;Italy
38;JOR;Jordan
39;JPN;Japan
40;KAZ;Kazakhstan
41;KHM;Cambodia
42;KOR;Korea
43;LAO;Lao (People's Democratic Republic)
44;LTU;Lithuania
45;LUX;Luxembourg
46;LVA;Latvia
47;MAR;Morocco
48;MEX;Mexico
49;MLT;Malta
50;MMR;Myanmar
51;MYS;Malaysia
52;NGA;Nigeria
53;NLD;Netherlands
54;NOR;Norway
55;NZL;New Zealand
56;PAK;Pakistan
57;PER;Peru
58;PHL;Philippines
59;POL;Poland
60;PRT;Portugal
61;ROU;Romania
62;RUS;Russian Federation
63;SAU;Saudi Arabia
64;SEN;Senegal
65;SGP;Singapore
66;SVK;Slovakia
67;SVN;Slovenia
68;SWE;Sweden
69;THA;Thailand
70;TUN;Tunisia
71;TUR;Türkiye
72;TWN;Chinese Taipei
73;UKR;Ukraine
74;USA;United States
75;VNM;Viet Nam
76;ZAF;South Africa
77;ROW;Rest of the World
77;WXD;Rest of the World
